"","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7","Sample8","Sample9","Sample10","Sample11","Sample12","Sample13","Sample14","Sample15","Sample16","Sample17","Sample18","Sample19","Sample20","Sample21","Sample22","Sample23","Sample24","Sample25","Sample26","Sample27","Sample28","Sample29","Sample30","Sample31","Sample32","Sample33","Sample34","Sample35","Sample36","Sample37","Sample38","Sample39","Sample40","Sample41","Sample42","Sample43","Sample44","Sample45","Sample46","Sample47","Sample48","Sample49","Sample50","Sample51","Sample52","Sample53","Sample54","Sample55","Sample56","Sample57","Sample58","Sample59","Sample60","Sample61","Sample62","Sample63","Sample64","Sample65","Sample66","Sample67","Sample68","Sample69","Sample70","Sample71","Sample72","Sample73","Sample74","Sample75","Sample76","Sample77","Sample78","Sample79","Sample80","Sample81","Sample82","Sample83","Sample84","Sample85","Sample86","Sample87","Sample88","Sample89","Sample90","Sample91","Sample92","Sample93","Sample94","Sample95","Sample96","Sample97","Sample98","Sample99","Sample100"
"Gene0001",16.0554963562142,11.5333388760598,17.2784496936671,12.6433595222385,15.8104514818544,16.6037059830238,10.0353400747938,8.50901917603868,9.79194042685425,15.8355608558041,18.881498105753,14.747043346315,14.7508110301433,10.3390408167087,14.3087202815865,10.2446643419531,13.1510723385936,11.5520790989904,9.51369476595239,10.1568668236657,16.2186141085409,12.8036429650373,12.5274987547327,13.2571921772615,12.7413312768414,9.32492094641315,17.964377819625,14.6100330303829,17.5725351947976,16.7569754303461,18.717891577356,17.9609583323009,12.2103296384911,10.7966230949121,1.12677090373861,1.55520437193953,1.81616950967891,1.68644661794105,1.59467808025556,0.773432647736539,1.82730871795259,1.72616755775017,1.43142022543872,2.07029738211453,1.41252201029741,0.708837654500854,1.32914287602853,0.967614483742774,1.093475471221,0.856106610734546,2.90140139515147,1.23509274979441,1.18156855448679,0.628065669753131,1.57479114545102,2.06304796035925,0.716616186872504,1.18648269819554,1.87563369155895,2.60396384481816,0.759985179580095,1.03201616760588,2.35068713001565,1.03628657826294,1.10933372556479,1.30549924852467,0.905926435281591,2.1726546057061,1.97333550469856,1.11327739370294,0.709760806638657,2.12087031288827,2.39741061592276,1.79401577702483,0.859445860598287,1.26242061025833,1.35826235731666,1.56884158269773,1.50419497423461,0.974329495598504,1.98565953983869,0.500059829038877,1.25316056319905,2.27444531045035,1.85935486198819,1.74824421313983,0.806447257936071,1.74964487133518,1.318687332668,2.2926362279561,2.56226495465257,1.60977169175,2.3549317089431,1.25910272107792,1.7883039385901,1.5906377170163,1.81885017859483,0.786486376450717,2.422678470361,1.61900623434471
"Gene0002",16.9624125580605,11.9222941316411,17.0695618445603,12.982352918964,15.7957201239531,17.0548862790774,10.2384896027872,8.81719649023181,10.3902406149156,15.9870201783072,19.2873300867712,14.6100995880504,14.8759679631247,10.5766093407586,14.4168864884224,10.4147724937257,13.4432264278871,11.9843496450974,9.32645746261632,10.2308360566109,16.5310784782084,12.6171270714912,12.584325459613,13.6972773446949,12.8510206646784,9.63455196590392,17.7718449987939,14.9914154004591,17.2313655410325,16.7711513344123,18.5810911183002,18.0578375253563,12.0969826406101,11.3154924436557,1.45412940915785,2.42857598496763,2.28654391429281,2.33656399815727,2.4293646588897,1.73213679914495,3.68510935601588,1.40197289365226,1.64251700784827,2.39279867704244,2.33070939849886,1.15930317831359,1.31341819193976,2.241795687409,1.44780420562136,0.659332408623165,3.14960466562163,1.75662499333517,2.00583614839745,1.8493583105011,2.4135017257899,2.39442191244438,1.74338054296098,1.74748815462427,1.92126845725987,2.68737502703812,1.62479497392736,2.42600689823599,2.14207805031264,1.58616956951024,2.33801719866764,1.9603509731509,1.58615593513873,2.71640540683843,2.1392741375368,2.03722911154327,1.19184091652265,2.11919229826921,3.02976264538884,2.40712877148725,0.871640700976318,1.9364380829289,1.54649323276492,1.28435186915078,1.04984847246627,1.52645505817486,1.80793369736689,0.888565287678593,1.17666007429053,2.26261307266111,2.65756066769136,1.33804370750542,1.11530324967572,2.08209663439807,2.26326677418448,2.3129719656511,2.05117359319033,2.02942012631809,2.66310015264658,1.49292453283729,2.4398942424621,1.57018884260819,2.30274128222037,0.579721238827942,2.49541305958735,2.82243088585794
"Gene0003",11.1534773854037,7.91791592816035,11.8155537063958,8.29837354160407,10.9594192937365,11.3619675111994,6.79155208939171,5.8055171956988,6.31820927452112,10.7342575168176,12.7130311245979,10.0581629096578,10.0091371142257,7.81587192111644,9.99039915674422,6.77528040260531,8.99468915238964,8.09628984115242,7.21300362606916,6.91020819303267,11.7837721397037,8.42807706252393,9.03351902006927,9.45479629861419,8.77050587822176,6.38206600642869,11.6336495593561,9.94470373981816,11.8652408128652,11.318337604704,13.0080467741889,11.9089923138203,7.9558198869927,7.8352791141612,1.06592035453548,1.80039777746557,1.62520381288442,1.8711575628773,2.20555187648937,1.54130614370741,1.76859200082664,2.10049969848429,1.30610222010199,1.56850715568924,1.54243937053172,0.961377136102676,1.087832510405,1.48471151620435,1.04757466615119,0.59287567479473,2.59313221021183,1.63664270901247,1.28043359993424,1.5036783182201,1.92504516612366,2.24112109362958,0.911887263274218,2.14922843323715,2.03139500159615,1.65080828363239,1.24796597829478,1.58373625485861,1.62840896843247,1.18821297419537,1.7156055597923,2.01509062055415,1.06046845129158,1.83283556733596,1.74633907198304,1.81049654947749,1.85443319872811,1.79930299071638,1.91195368939135,2.24250801456158,1.32196425820978,1.88489036743204,1.51155455524298,1.60102994873785,1.37812384783581,1.52714373022758,1.93404559648776,1.16461852974945,1.08850519587959,2.33878286130967,2.43983990301071,1.33443913216435,1.55579253797473,2.21936095437408,2.04955248791723,1.89884739714814,2.09077641658881,1.04946789578333,1.554310474177,1.76098256199372,2.10344028673902,2.03614974550423,1.55719917840838,1.31409664006643,2.82316770451625,1.72859689572479
"Gene0004",15.5175142571857,11.2708258802549,16.5821644275445,12.1105994659889,14.850743208296,15.9230971373578,9.56265487066035,7.8791061015391,8.90031249275678,15.0193653805381,18.2285542748748,13.7648225011408,14.4763432388495,9.5756675055038,13.6931313848505,10.0069445375829,12.3254741967095,11.3971858136419,9.30798280259539,9.83133772180759,15.9313831848437,12.0577376090822,12.0190748578701,13.1806298124561,12.2429472870175,9.4180517521858,16.584623425737,15.0279858440754,16.5896763490345,15.8549867193009,18.1221457276518,17.9863537075597,11.2556276191261,10.2101640167723,0.948482490777985,1.2250780842244,2.34294490629739,1.39105197452496,1.79409308807388,0.784700711305105,1.69258796012425,0.569598464613822,0.744921436510991,1.98930753577532,1.80077750561289,0.984720048779123,0.993290262023677,0.822766187189861,1.17288136876272,0.62251402957314,2.06918785395337,1.57790162090623,0.556328511092126,1.09783095633719,2.36639571684918,1.47217987030899,1.0248889026726,1.17175175457276,1.52651273951472,1.95079073608358,0.858559331241144,1.34205732308651,1.68102727161907,1.36731360604426,1.42951671139142,1.07080070650043,1.37536833083749,1.67636151310591,2.45934899109218,1.05492526286267,0.870362487959506,2.45035603323476,2.12342316917022,1.8468952617648,1.1582645630755,1.36793505459673,1.19334177830216,1.08685294652926,1.05152765325419,1.11687040181073,1.10677786205223,0.852945976494881,1.30663469261587,2.11121004889626,2.18820603531124,0.91200844143339,1.37921730234455,1.43542104499368,1.34812228122932,2.6521975498226,1.62853182070979,0.926650871438469,1.99143305247697,1.6079434746026,1.81891107793233,0.975849733030868,1.4655316228756,0.480099017345552,1.98994209666324,2.51421014430678
"Gene0005",13.6970355846141,10.4283209502983,14.8557205900274,10.5264365930372,14.151138240156,14.2945253394265,8.62402221357245,7.84386178427267,8.41536561811684,13.4283289124303,15.9202231880026,12.3915453448365,12.5611352276823,8.54320038544166,12.2859169976542,8.80173175936292,12.7245235055945,10.2440007550232,8.18380348413756,8.51020833128645,14.5322146981452,10.9508126754216,11.0471669324941,11.7878467156683,11.0336815036237,8.08306219737527,15.6453765487874,12.6602634414353,14.5588621479517,14.3702107484214,16.3525094876472,15.5293667279942,9.86350133462602,9.52011338366057,0.69712537012594,0.950278582183908,1.86979231555038,0.787778223190749,1.2035704943921,0.404405151732971,1.40809693971255,0.554696606504009,0.479566622170089,1.45141522985034,1.57873270289347,0.548061319467066,1.09627161469218,0.682066803746389,1.65752336568034,0.471152970058308,1.92204863914377,0.520803788729363,0.722817135538525,0.452364626432917,1.55466448316469,2.12988663025648,1.12192415623562,1.14857248836627,1.46972197865239,1.38824073670728,1.54595695516839,0.688114669671267,1.73754738851794,0.875932986975614,1.25555411130217,1.88429359372011,1.54030246074094,1.76484105117473,2.27342365787708,1.06921010950613,0.885392327151947,2.1135211755266,1.53152242484944,1.92285168665614,0.733873084680226,0.959336332312398,1.79083513185235,1.28619335743261,0.98599705634312,0.73059036172299,1.27123692345093,0.647530581515558,1.06158872950987,1.62763424953494,2.29650089296154,0.849908128219313,1.03738608837418,1.73651232955902,1.12992506939296,1.99253829019827,1.76057856422736,1.12961573846691,1.96120315833307,1.02238319580799,2.73756286229782,1.39532245693492,1.49764047837362,0.429167657729603,2.56244682565782,1.44577434058652
"Gene0006",12.7728863472459,9.23623028385162,13.6089886131408,10.1021738995714,13.4836075472031,14.1625194088386,7.91822707153468,7.30654896371545,7.39064993194321,12.5533813695874,14.6313854273677,11.2143517357683,11.697525937764,7.93231490082483,11.4147500237133,7.95213520414825,10.6094925725597,9.1745312322773,7.41845795525337,7.86662738856077,13.1205621205993,10.595737797347,9.8756383729337,11.1741336294555,10.6107587786578,7.91580980299953,13.93320204497,11.7638267117067,13.74846722938,13.2294472060154,14.9549625810679,15.0271776555088,9.27483721809224,8.66346878591089,0.799461415935772,1.36319206696532,2.02173675744824,0.846943722394629,1.04080426450103,1.26773055678669,1.62897204835842,0.699363847469553,1.5295438653274,1.19898730487471,1.36194711292821,0.820120890471026,1.58114786613322,1.79808166117218,0.998147000678228,0.703378248599016,1.44133655653216,0.847266046087652,0.90641399905978,0.532983082273791,1.30233836197399,1.25806553357622,0.868499674830966,1.33852301400302,1.27768109526263,1.8953747120351,0.842068079829948,1.34799793114897,1.80901636081881,1.16949148514547,0.757858094064035,1.17734048506245,0.536807572046613,1.52096248907585,1.69829063827276,1.33472221934358,0.82635582225175,2.24902924680187,1.54449650958291,1.91937433684627,0.833633446896024,1.85559977369673,1.8322741994677,1.04826859593432,0.975677948997985,1.34880254767273,1.51893837287571,1.07914992817482,1.41369129220706,2.34004090457614,1.88747293514898,2.16091405011977,1.33621957190067,2.2423451544257,1.6761408979837,1.68153762272811,2.50299209476436,1.24402234669779,1.36552489284946,1.23595769842098,2.5157690799612,1.6516025064432,1.5585526430133,0.754174246164003,3.04806371083509,2.46262241439088
"Gene0007",14.8061526686597,10.8771143676568,15.9163204509893,11.3295421174252,14.5678672432707,15.300414081107,9.88809346540334,7.8813718235843,8.6374511150775,14.3739766891487,17.3862728714947,12.7436349668109,13.5790837398586,9.39298749572492,13.3979821182077,9.34519127140785,11.8903362618239,10.3674639855418,8.37921868361571,8.95756021322413,15.3830017667349,11.2541827814585,11.6753539761194,12.7935416300767,11.4899574186694,8.63092610481693,16.482892674772,13.4400851795542,15.9590708347183,15.1434174414713,17.1904737392419,16.0077984598891,10.9965484607372,9.77512567816605,0.541838329968812,1.51704654783096,2.05001455366482,1.16003476059152,1.57685032235523,0.570080468179798,1.96397624119535,1.00317405603585,0.808856297404569,1.45560147916064,1.65397253735837,0.579608859475401,1.19574217838492,0.931547104652395,1.58176176575571,1.19222370657425,2.66093499907723,0.957828865071697,0.398381556662083,0.541059514644334,1.60845547366891,2.17981966739214,1.40340241575791,1.22641913706009,1.67197802536674,1.93101350817812,1.24657264348487,1.00108454096002,2.64137286781504,1.08289758541261,1.54673086144927,1.39837892184257,0.558767577650091,2.15159646198981,1.84495032375271,1.3850694415221,1.03939098714037,1.96469532787437,1.7781775627304,1.92409120195525,0.86500997544404,1.25350692830479,1.47594795352361,1.16032677205635,0.91265484802875,1.08360214500511,2.11269059243601,0.992132462937146,2.1702708639009,2.77524505804065,2.61246063890804,1.70067048234682,1.24953062395732,2.17924962870021,1.85409684171879,1.77483642291568,1.73537667063414,1.11459546417908,2.11845974776647,1.25824274958322,2.7276394244994,1.24237280742565,2.00111566608205,0.524662654356122,3.12227237659121,2.35382169285553
"Gene0008",9.72784114692864,7.46713875916335,10.157974210524,7.68897578248361,9.42005864707076,10.0646212102155,6.57758980589539,5.01655699230156,6.42683051733932,9.37182295197323,11.5400700321699,8.56791872068794,9.28906293598397,5.97369217947659,9.16169510518489,6.16361593782578,8.18363264522935,6.93571930606349,5.75807189330823,5.92889306072016,9.72410629681218,7.62333703002798,7.5110815383134,8.41236603773632,7.62285880062565,5.82692236054165,10.4573869202363,8.6202531847495,10.3719529710437,9.93824193976557,11.6264778184735,10.8556887299696,7.88343834550681,6.88404651543697,1.09947785165066,1.20851730570766,1.54280851003144,1.29154589156359,1.45555442909075,1.55040636778008,1.58842733274889,1.83969135754269,1.33107991824882,2.30971342505167,1.25121658314647,0.737532524663589,1.57430462702406,0.937445874460526,1.26248050963529,0.94789261164812,1.9117412159458,1.14596563169805,0.518855116199119,1.29751905929988,1.64605338220476,1.24505562486921,0.74395624912417,1.48263640517924,1.49192988666824,1.75488634881285,0.719012871494713,1.77436676073275,1.42153026017366,0.786233999482388,1.07609650890408,1.18302422189772,1.18764496527114,1.37823934924693,1.53426053877544,1.17219938739108,1.13222240678907,1.60461729568556,1.50535074580255,1.77630467726748,1.16318018969964,2.10279095584242,1.33964956247416,2.01834807658665,1.07278205217907,1.85343296472147,1.39617851094405,0.728543448730739,1.15468642479266,1.76456955647724,1.93502593898682,1.03579629757602,1.49088093797077,2.03487362152878,1.45414346972911,1.63219788778425,1.52935050056605,1.31563021743765,1.98428674124735,1.13689866156673,1.99094674020287,1.83473196019623,1.35138296898285,1.30947516109113,1.98334987910568,2.12684900196407
"Gene0009",13.9803312377394,10.1424139055541,14.7054109637606,10.6676413877236,14.077940231932,15.1183840978106,9.2485061430098,7.58885764328127,8.65455441176881,14.0174199213609,16.2430430418335,12.4755201177674,13.2289710240954,9.01814472423998,12.348695717775,8.767323496677,11.4644507466944,9.86777260378005,8.2647569244874,9.29327218504712,14.2393595014697,11.3951214753907,10.9185552872316,11.716885735536,11.4026759278089,8.15063715691097,16.0144372371488,13.2126108240662,15.3765433231397,14.611386693447,15.8161548957649,16.3012727910102,9.85546135602461,9.57374820029679,0.621274612246289,1.08597819950932,2.44479144856967,1.0866142742746,1.50839277594309,0.505475926876261,1.45272914450161,0.795721530076513,1.10142901752528,2.05164804234668,1.4896045230497,1.11206668284322,1.08848009876303,2.11912885481723,1.69988317556828,0.786920075315608,1.98113978295304,1.02185229616217,0.704871498643821,0.931459181315774,1.11383761571731,1.41548444204103,1.15330468463405,1.35997733576816,2.21826374062149,2.29620261670017,1.27558465770215,1.38618448816496,1.38360668757703,0.869681597721673,1.13746076698489,1.11081279670659,0.752770364504969,2.45586538904461,1.94161861280659,1.68481730725581,1.60515251458402,1.64782567897704,1.82608671665114,2.4941890719704,0.657740704814163,1.26554867900901,1.18345357707247,1.2635769406394,0.759977271203068,1.30106582656848,1.09333442955605,0.860995773496742,1.27431041869917,1.84428146953838,1.63908236777448,1.13788034685567,1.12674984917602,1.33946352884132,1.76210848545834,1.6228320626538,1.79077129661363,0.922344826604586,2.4571025764455,1.0850338582969,2.04110722353278,1.31214862819214,1.9496804118341,0.510632860414536,2.85387953341646,2.03282031868714
"Gene0010",14.4659231547767,10.4371885933484,14.852893493481,11.4531380697053,13.8857200737055,14.7896117548113,9.18146514434758,7.3997384899935,8.54526369937204,14.5973378061557,17.0462695031735,12.7771905326742,13.4099327822391,9.95942947914764,12.9828539798274,8.87848998049626,12.3491026820655,10.4746717919485,8.25234714271695,8.99307186548871,14.8554776413226,11.116018106514,11.4769421918901,12.2704739530942,11.8345357072184,8.79923521404789,15.4259160304351,13.0899115464351,15.4784920847823,15.1487303292025,16.4739554503376,16.1182146888765,10.6135635531337,10.0318165987691,1.38922084432921,2.63027118456056,2.08408002713296,1.64897291115414,2.82061388752183,1.58700232695644,2.1208311155062,1.60674845678104,1.8756985130538,1.78149568691154,2.41048048024591,1.72579722558186,1.91229209831321,1.32212922058522,1.54751080022469,0.720186959794641,2.61057488737837,1.43532474629628,0.872421917842888,1.87526414385896,1.77974918323898,2.08617147112936,1.24272262623482,1.61594702928929,2.1700033167652,2.1196150623043,1.08470040487232,1.45685356031506,2.23365163531275,1.31312765958674,1.76307541400638,2.10650130454055,1.13224163861065,1.90791045209881,2.44037047195663,1.52842998557481,1.14585368193122,2.55213873666745,2.15278404396681,2.79841207453572,1.53064311515957,1.89122771556911,2.27994635873899,1.63575026859493,1.15123787610211,1.64047038225363,1.97719001819335,1.33327020966243,1.37513963725298,2.8267786077356,2.55235422540099,1.23229816181141,1.83985403502118,3.32683281078082,2.91159901503315,2.25861007361061,2.13393162804995,1.62864840854102,2.55474736320446,2.32500567746303,2.8444712975347,2.27339618070264,2.48299242504437,1.53634920590695,3.19930907631641,2.33660561659015
